id,host_id,neighbourhood_cleansed,room_type,latitude,longitude,price_clean,calculated_host_listings_count,availability_365,reviews_per_month,minimum_nights,commercialization_score,operator_type,high_confidence_commercial,signals_fired
597768,463043,el Poble Sec,Entire home/apt,41.37481,2.16522,88.0,1,153,0.01,30,53.4,medium_term_home_rental,0,1
598329,2958781,la Barceloneta,Entire home/apt,41.377438,2.188638,295.0,2,320,1.15,3,57.6,commercial,1,2
615381,3050422,el Raval,Entire home/apt,41.3848,2.16546,207.0,2,335,1.75,2,58.4,commercial,1,2
617704,1447144,la Sagrada Família,Entire home/apt,41.40187,2.17208,131.0,413,365,,32,84.1,medium_term_home_rental,1,3
619728,2439400,la Sagrada Família,Entire home/apt,41.40118,2.17793,,30,330,0.79,1,59.8,commercial,1,2
621656,3081150,la Bordeta,Private room,41.37206,2.14117,62.0,2,272,3.94,1,24.9,casual,0,1
630517,2525519,la Vila de Gràcia,Private room,41.4076,2.15787,40.0,3,194,0.24,31,20.7,medium_term_room_rental,0,1
636702,3099749,el Fort Pienc,Entire home/apt,41.39544,2.17887,356.0,1,256,0.95,5,54.0,commercial,1,2
639820,3194412,Sant Antoni,Entire home/apt,41.37752,2.16021,169.0,1,241,1.43,1,53.2,commercial,1,2
642491,3211290,la Maternitat i Sant Ramon,Entire home/apt,41.37606,2.12222,140.0,2,269,0.24,21,49.8,commercial,1,2
645513,3041333,el Poblenou,Entire home/apt,41.39698,2.19963,140.0,1,310,1.15,7,52.0,commercial,1,2
659469,599600188,el Parc i la Llacuna del Poblenou,Entire home/apt,41.40286,2.19615,154.0,1,246,1.15,2,53.5,commercial,1,2
662879,3347847,el Poble Sec,Entire home/apt,41.37335,2.15589,150.0,1,9,1.0,3,40.4,commercial,0,1
663096,3348832,la Dreta de l'Eixample,Entire home/apt,41.39025,2.16474,436.0,6,321,3.31,3,57.9,commercial,1,2
667177,3357515,el Parc i la Llacuna del Poblenou,Entire home/apt,41.40062,2.18952,314.0,1,35,1.85,3,41.9,commercial,0,1
670782,3399123,Sant Antoni,Entire home/apt,41.3773,2.16308,112.0,7,52,2.02,1,43.2,commercial,0,1
671458,3403659,el Poble Sec,Entire home/apt,41.37353,2.16131,143.0,8,181,1.69,3,50.3,commercial,0,1
675175,3429484,la Prosperitat,Private room,41.44273,2.17985,,2,267,,90,14.7,medium_term_room_rental,0,1
682808,3479346,la Dreta de l'Eixample,Entire home/apt,41.39362,2.16868,651.0,15,228,1.78,3,53.3,commercial,1,2
682871,3479346,Sant Gervasi - Galvany,Entire home/apt,41.39679,2.14705,151.0,15,219,2.69,3,52.8,commercial,1,2
